tld,provider,amount
frl,openprovider,60.91
frosinone.it,openprovider,19.31
fun,openprovider,39.99
fund,openprovider,69.99
furniture,openprovider,105
futbol,openprovider,28
fvg.it,openprovider,19.31
fyi,openprovider,20.5
ga,openprovider,36.33
gal,openprovider,87.55
gal.ec,openprovider,39.95
gallery,openprovider,35
game,openprovider,600.36
game.tw,openprovider,63.99
games,openprovider,39.98
garden,openprovider,48.98
gay,openprovider,49.98
gb.com,openprovider,54.86
gb.net,openprovider,21.93
gd,openprovider,63.2
gd.cn,openprovider,33.26
gdn,openprovider,11.99
ge,openprovider,145.32
ge.it,openprovider,19.31
geek.nz,openprovider,26.09
gen.in,openprovider,11.84
gen.nz,openprovider,26.09
gen.tr,openprovider,37
genoa.it,openprovider,19.31
genova.it,openprovider,19.31
gent,openprovider,55.69
gf,openprovider,242.19
gg,openprovider,199.81
gi,openprovider,171.96
gift,openprovider,26.98
gifts,openprovider,41
gives,openprovider,43.36
giving,openprovider,37
gl,openprovider,90.81
glass,openprovider,76
global,openprovider,100.36
glogow.pl,openprovider,34.17
gm,openprovider,50.86
gmbh,openprovider,49.98
gmina.pl,openprovider,42.71
gniezno.pl,openprovider,34.17
go.it,openprovider,19.31
go.ke,openprovider,222.82
go.tz,openprovider,90.82
gob.es,openprovider,19.31
gob.mx,openprovider,35.99
gold,openprovider,99
golf,openprovider,65
gorizia.it,openprovider,19.31
gorlice.pl,openprovider,34.17
gov.gh,openprovider,1053.54
gov.ng,openprovider,181.64
gov.vn,openprovider,145
gp,openprovider,174.38
gq,openprovider,90.82
gr,openprovider,21.79
gr.com,openprovider,31.42
gr.it,openprovider,19.31
grajewo.pl,openprovider,34.17
graphics,openprovider,24.99
gratis,openprovider,27.99
green,openprovider,75
gripe,openprovider,19
grosseto.it,openprovider,19.31
group,openprovider,27.98
gs,openprovider,48.95
gs.cn,openprovider,33.26
gsm.pl,openprovider,42.71
gt,openprovider,145.32
gu,openprovider,541.3
guide,openprovider,47
guitars,openprovider,200.36
gujarat.in,openprovider,11.84
guru,openprovider,49
gw,openprovider,181.64
gx.cn,openprovider,33.26
gy,openprovider,91
gye.ec,openprovider,39.95
gz.cn,openprovider,33.26
ha.cn,openprovider,33.26
hair,openprovider,20.98
hamburg,openprovider,82.35
haus,openprovider,42
hb.cn,openprovider,33.26
he.cn,openprovider,33.26
health,openprovider,109.98
health.vn,openprovider,145
healthcare,openprovider,88
